Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
70,LZ0DAO,438.450,split,430.850,,88.5,88.5,23,NN,FM,5,,,,,
71,LZ0DAF,438.450,split,430.850,,88.5,88.5,23,NN,FM,5,,,,,
72,LZ0VHF,145.600,split,145.000,,88.5,88.5,23,NN,FM,5,,,,,
73,LZ0DSP,439.440,split,431.840,Tone,79.7,88.5,23,NN,FM,5,,,,,
74,LZ0DAR,438.250,split,430.650,,88.5,88.5,23,NN,FM,5,,,,,
75,LZ0RUS,145.625,split,145.025,,88.5,88.5,23,NN,FM,5,,,,,
76,LZ0DAM,439.275,split,431.675,,88.5,88.5,23,NN,FM,5,,,,,
77,LZ0DRZ,438.450,split,430.850,,88.5,88.5,23,NN,FM,5,,,,,
78,LZ0DAT,439.525,split,431.925,,88.5,88.5,23,NN,FM,5,,,,,
79,LZ0BAN,439.150,split,431.550,,88.5,88.5,23,NN,FM,5,,,,,
80,LZ0LSD,438.800,split,431.200,,88.5,88.5,23,NN,FM,5,,,,,
81,LZ0VNA,438.300,split,430.700,,88.5,88.5,23,NN,FM,5,,,,,
82,LZ0SVV,438.375,split,430.775,,88.5,88.5,23,NN,FM,5,,,,,
83,LZ0ARB,439.450,split,431.850,,88.5,88.5,23,NN,FM,5,,,,,
84,LZ0ASG,439.600,split,432.000,Tone,79.7,88.5,23,NN,FM,5,,,,,
85,LZ0ESE,439.125,split,431.525,Tone,79.7,88.5,23,NN,FM,5,,,,,
86,LZ0IOS,439.075,split,431.475,,88.5,88.5,23,NN,FM,5,,,,,
87,LZ0DSN,438.550,split,430.950,,88.5,88.5,23,NN,FM,5,,,,,
88,LZ0DDA,438.450,split,430.850,,88.5,88.5,23,NN,FM,5,,,,,
89,LZ0XLX,438.625,split,431.025,,88.5,88.5,23,NN,FM,5,,,,,
90,LZ0DSH,438.275,split,430.675,,88.5,88.5,23,NN,FM,5,,,,,
91,LZ0DDK,439.575,split,431.975,,88.5,88.5,23,NN,FM,5,,,,,
92,LZ0DDO,438.450,split,430.850,,88.5,88.5,23,NN,FM,5,,,,,
93,LZ0TUK,438.100,split,430.500,Tone,79.7,88.5,23,NN,FM,5,,,,,
94,LZ0DBU,439.525,split,431.925,,88.5,88.5,23,NN,FM,5,,,,,
95,LZ0TAR,438.850,split,431.250,Tone,79.7,88.5,23,NN,FM,5,,,,,
96,LZ0PRC,439.1,split,431.5,Tone,79.7,88.5,23,NN,FM,5,,,,,
97,LZ0DUN,438.000,split,431.400,,88.5,88.5,23,NN,FM,5,,,,,
98,LZ0HIT,145.7875,split,145.1875,,88.5,88.5,23,NN,FM,5,,,,,
99,LZ0VRC,439.150,split,431.550,Tone,79.7,88.5,23,NN,FM,5,,,,,
100,LZ0DDS,439.625,split,432.025,,88.5,88.5,23,NN,FM,5,,,,,
101,LZ0DGD,438.45,split,430.85,,88.5,88.5,23,NN,FM,5,,,,,
102,LZ0ORL,145.775,split,145.175,Tone,79.7,88.5,23,NN,FM,5,,,,,
103,LZ0TNW,145.775,split,145.175,,88.5,88.5,23,NN,FM,5,,,,,
104,LZ0SVI,438.875,split,431.275,,88.5,88.5,23,NN,FM,5,,,,,
105,LZ0PNP,438.350,split,430.750,,88.5,88.5,23,NN,FM,5,,,,,
